Regiao;Data;Usuario;Primeira Visita;Total;Usuarios;DT
Mato Grosso do Sul;20230831;1;0;1;1;31/08/2023
Mato Grosso do Sul;20230902;1;0;1;1;02/09/2023
Mato Grosso do Sul;20230906;1;0;1;1;06/09/2023
Mato Grosso do Sul;20230911;1;0;1;1;11/09/2023
Mato Grosso do Sul;20230914;1;0;1;1;14/09/2023
Mato Grosso do Sul;20230915;1;0;1;1;15/09/2023
Mato Grosso do Sul;20230916;1;1;2;2;16/09/2023
Mato Grosso do Sul;20230917;1;0;1;1;17/09/2023
Minas Gerais;20230804;1;6;6;6;04/08/2023
Minas Gerais;20230815;1;3;4;4;15/08/2023
Minas Gerais;20230816;1;2;3;3;16/08/2023
Minas Gerais;20230818;1;3;4;4;18/08/2023
Minas Gerais;20230902;1;1;2;2;02/09/2023
Minas Gerais;20230913;1;0;2;2;13/09/2023
Minas Gerais;20230917;1;2;3;3;17/09/2023
Para;20230804;1;1;2;2;04/08/2023
Para;20230805;1;2;2;2;05/08/2023
Para;20230807;1;1;2;2;07/08/2023
Para;20230810;1;0;1;1;10/08/2023
Para;20230811;1;0;1;1;11/08/2023
Para;20230822;1;0;1;1;22/08/2023
Para;20230823;1;1;2;2;23/08/2023
Para;20230824;1;1;2;2;24/08/2023
Para;20230826;1;0;1;1;26/08/2023
Para;20230828;1;0;1;1;28/08/2023
Para;20230901;1;2;3;3;01/09/2023
Para;20230902;1;0;1;1;02/09/2023
Para;20230904;1;1;2;2;04/09/2023
Para;20230905;1;0;1;1;05/09/2023
Para;20230906;1;0;1;1;06/09/2023
Para;20230908;1;3;4;4;08/09/2023
Para;20230913;1;0;1;1;13/09/2023
Para;20230915;1;1;2;2;15/09/2023
Para;20230916;1;2;3;3;16/09/2023
Para;20230918;1;2;3;3;18/09/2023
Paraiba;20230817;1;0;1;1;17/08/2023
Paraiba;20230824;1;0;1;1;24/08/2023
Paraiba;20230828;1;0;1;1;28/08/2023
Paraiba;20230830;1;1;2;2;30/08/2023
Paraiba;20230903;1;0;1;1;03/09/2023
Paraiba;20230916;1;0;1;1;16/09/2023
Paraiba;20230918;1;1;1;1;18/09/2023
Parana;20230806;1;2;3;3;06/08/2023
Parana;20230807;1;2;4;4;07/08/2023
Parana;20230810;1;2;2;2;10/08/2023
Parana;20230814;1;0;1;1;14/08/2023
Parana;20230821;1;5;6;6;21/08/2023
Parana;20230825;1;1;2;2;25/08/2023
Parana;20230826;1;1;2;2;26/08/2023
Parana;20230827;1;3;4;4;27/08/2023
Parana;20230828;1;2;3;3;28/08/2023
Parana;20230907;1;0;1;1;07/09/2023
Parana;20230909;1;0;2;2;09/09/2023
Parana;20230910;1;2;3;3;10/09/2023
Parana;20230915;1;2;3;3;15/09/2023
Pernambuco;20230824;1;1;2;2;24/08/2023
Pernambuco;20230828;1;0;1;1;28/08/2023
Pernambuco;20230829;1;1;1;1;29/08/2023
Pernambuco;20230912;1;0;1;1;12/09/2023
Piaui;20230807;1;1;1;1;07/08/2023
Piaui;20230809;1;0;1;1;09/08/2023
Piaui;20230815;1;0;1;1;15/08/2023
Piaui;20230826;1;1;1;1;26/08/2023
Rio Grande do Norte;20230804;1;2;3;3;04/08/2023
Rio Grande do Norte;20230809;1;0;1;1;09/08/2023
Rio Grande do Norte;20230813;1;0;1;1;13/08/2023
Rio Grande do Norte;20230815;1;2;2;2;15/08/2023
Rio Grande do Norte;20230820;1;0;1;1;20/08/2023
Rio Grande do Norte;20230825;1;1;2;2;25/08/2023
Rio Grande do Norte;20230828;1;1;1;1;28/08/2023
Rio Grande do Norte;20230902;1;0;1;1;02/09/2023
Rio Grande do Norte;20230903;1;2;3;3;03/09/2023
Rio Grande do Norte;20230906;1;1;2;2;06/09/2023
Rio Grande do Norte;20230908;1;1;2;2;08/09/2023
Rio Grande do Sul;20230808;1;2;4;3;08/08/2023
Rio Grande do Sul;20230809;1;3;5;5;09/08/2023
Rio Grande do Sul;20230812;1;2;3;3;12/08/2023
Rio Grande do Sul;20230813;1;3;5;4;13/08/2023
Rio Grande do Sul;20230816;1;3;3;3;16/08/2023
Rio Grande do Sul;20230819;1;2;3;3;19/08/2023
Rio Grande do Sul;20230823;1;1;2;2;23/08/2023
Rio Grande do Sul;20230829;1;3;4;4;29/08/2023
Rio Grande do Sul;20230831;1;4;5;5;31/08/2023
Rio Grande do Sul;20230902;1;2;4;4;02/09/2023
Rio Grande do Sul;20230903;1;1;2;2;03/09/2023
Rio Grande do Sul;20230913;1;1;2;2;13/09/2023
Santa Catarina;20230816;1;2;3;3;16/08/2023
Santa Catarina;20230819;1;1;2;2;19/08/2023
Santa Catarina;20230820;1;0;1;1;20/08/2023
Santa Catarina;20230822;1;4;4;4;22/08/2023
Santa Catarina;20230823;1;1;1;1;23/08/2023
Santa Catarina;20230824;1;1;2;2;24/08/2023
Santa Catarina;20230829;1;2;3;3;29/08/2023
Santa Catarina;20230901;1;0;1;1;01/09/2023
Santa Catarina;20230904;1;1;1;1;04/09/2023
Santa Catarina;20230906;1;0;1;1;06/09/2023
Santa Catarina;20230907;1;1;3;3;07/09/2023
Santa Catarina;20230909;1;1;1;1;09/09/2023
Santa Catarina;20230916;1;0;1;1;16/09/2023
Sao Paulo;20230813;1;5;6;6;13/08/2023
Sao Paulo;20230830;1;9;11;11;30/08/2023
Sao Paulo;20230912;1;6;7;7;12/09/2023
Tocantins;20230810;1;0;2;1;10/08/2023
Tocantins;20230826;1;0;1;1;26/08/2023
Ulyanovsk Oblast;20230803;1;1;2;2;03/08/2023
Ulyanovsk Oblast;20230805;1;0;1;1;05/08/2023
Ulyanovsk Oblast;20230806;1;0;1;1;06/08/2023
Ulyanovsk Oblast;20230810;1;0;1;1;10/08/2023
Ulyanovsk Oblast;20230811;1;0;1;1;11/08/2023
Ulyanovsk Oblast;20230812;1;0;1;1;12/08/2023
Ulyanovsk Oblast;20230813;1;0;1;1;13/08/2023
Ulyanovsk Oblast;20230814;1;0;1;1;14/08/2023
Ulyanovsk Oblast;20230821;1;0;1;1;21/08/2023
Ulyanovsk Oblast;20230825;1;0;1;1;25/08/2023
Ulyanovsk Oblast;20230830;1;0;1;1;30/08/2023
Ulyanovsk Oblast;20230901;1;0;1;1;01/09/2023
Ulyanovsk Oblast;20230907;1;0;1;1;07/09/2023
Ulyanovsk Oblast;20230908;1;0;1;1;08/09/2023
Ulyanovsk Oblast;20230909;1;0;1;1;09/09/2023
Ulyanovsk Oblast;20230910;1;0;1;1;10/09/2023
