Perguntas;Consulta;Grupo;Subgrupo;Codigo;Pagina;Pagina2;Visualizacao;Usuario
438;Jogos Eliminatórios por Saldo do 1º jogo;Especiais;Jogo;344000000;duelo_eliminatorio_saldo;N/A;0;0
550;Média de público em campeonato - estádio;Especiais;Publico;689103102;consulta_placar;media_publico;0;0
552;Gols mais rápidos;Especiais;Gols;273000000;gols_rapidos;N/A;0;0
553;Gols mais rápidos em jogos oficiais;Especiais;Gols;274000000;gols_rapidos;N/A;0;0
560;Jogos Eliminatórios por país;Especiais;Jogo;350000000;duelo_eliminatorio_adv;mostra_duelo_esp;0;0
440;Clássicos Regionais;Especiais;Adversario;NAO;mostra_classico;N/A;0;0
441;Clássicos Regionais em campeonato;Especiais;Adversario;534103000;generico_campeonato;mostra_classico_esp;0;0
442;Clássicos Regionais em estádio;Especiais;Adversario;534102000;generico_estadio;mostra_classico_esp;0;0
443;Clássicos Regionais por ano;Especiais;Adversario;534106000;generico_ano;mostra_classico_esp;0;0
444;Clássicos Regionais por período;Especiais;Adversario;533126000;generico_ano;mostra_classico_esp;0;0
445;Últimos jogos - Clássicos Regionais;Especiais;Adversario;534000000;consulta_jogo;mostra_especial_jogo;0;0
446;Árbitros em clássicos;Especiais;Adversario;533101000;generico_arbitro;mostra_classico_esp;0;0
447;Maiores públicos em clássicos;Especiais;Publico;NAO;maiores_publicos_classicos;N/A;0;0
448;Sequências em clássicos;Especiais;Sequencia;50034500000;mostra_sequencia;N/A;0;0
449;Jogadores em clássicos;Especiais;Adversario;533104000;generico_jogador;mostra_classico_esp;0;0
450;Técnicos em clássicos;Especiais;Adversario;533105000;generico_tecnico;mostra_classico_esp;0;0
451;Frequência de placar em clássicos;Especiais;Frequencia;533000000;mostra_frequencia;N/A;0;0
452;Média de públicos em clássicos;Especiais;Publico;NAO;media_publicos_classicos;N/A;0;0
453;Média de públicos em clássicos em estádios;Especiais;Publico;535102000;generico_estadio;media_publico;0;0
455;Presidente;Especiais;Presidente;130000000;consulta_presidente;mostra_presidente;0;0
456;Presidente ano a ano;Especiais;Presidente;130106000;consulta_presidente;mostra_presidente;0;0
457;Presidente x adversário;Especiais;Presidente;130100000;consulta_presidente;mostra_presidente;0;0
458;Presidente x estádio;Especiais;Presidente;130102000;consulta_presidente;mostra_presidente;0;0
459;Presidente em campeonato;Especiais;Presidente;130103000;consulta_presidente;mostra_presidente;0;0
460;Presidente e técnico;Especiais;Presidente;130105000;consulta_presidente;mostra_presidente;0;0
461;Presidente e jogador;Especiais;Presidente;130104000;consulta_presidente;mostra_presidente;0;0
