res_flu;res_adv;cod_jogo;adversario;data;agrupado
2;2;5359;Madureira;13/04/1947;Fluminense 2 X 2 Madureira - 
1;1;5360;América;20/04/1947;Fluminense 1 X 1 América - 
1;3;5361;Santos;23/04/1947;Fluminense 1 X 3 Santos - 
1;2;5362;Mogiana;26/04/1947;Fluminense 1 X 2 Mogiana - 
3;0;5363;Bangu;30/04/1947;Fluminense 3 X 0 Bangu - 
3;0;5364;Bonsucesso;03/05/1947;Fluminense 3 X 0 Bonsucesso - 
2;2;5365;Olaria;10/05/1947;Fluminense 2 X 2 Olaria - 
1;1;5366;São Cristovão;17/05/1947;Fluminense 1 X 1 São Cristovão - 
5;5;5367;Botafogo;29/06/1947;Fluminense 5 X 5 Botafogo - 
1;1;5368;Portuguesa SP;06/07/1947;Fluminense 1 X 1 Portuguesa SP - 
2;1;5369;Sport;16/07/1947;Fluminense 2 X 1 Sport - 
6;3;5370;Santa Cruz;20/07/1947;Fluminense 6 X 3 Santa Cruz - 
9;0;5371;Vale do Rio Doce;22/07/1947;Fluminense 9 X 0 Vale do Rio Doce - 
2;0;5372;Rio Branco;24/07/1947;Fluminense 2 X 0 Rio Branco - 
5;2;5373;Palmeiras;30/07/1947;Fluminense 5 X 2 Palmeiras - 
4;3;5374;Madureira;03/08/1947;Fluminense 4 X 3 Madureira - 
1;2;5375;América;10/08/1947;Fluminense 1 X 2 América - 
4;0;5376;Bangu;17/08/1947;Fluminense 4 X 0 Bangu - 
4;2;5377;Bonsucesso;23/08/1947;Fluminense 4 X 2 Bonsucesso - 
4;4;5378;Olaria;31/08/1947;Fluminense 4 X 4 Olaria - 
5;1;5379;São Cristovão;06/09/1947;Fluminense 5 X 1 São Cristovão - 
3;2;5380;Canto do Rio;14/09/1947;Fluminense 3 X 2 Canto do Rio - 
1;1;5382;América MG;12/10/1947;Fluminense 1 X 1 América MG - 
3;2;5383;Madureira;19/10/1947;Fluminense 3 X 2 Madureira - 
4;1;5384;América;29/10/1947;Fluminense 4 X 1 América - 
5;0;5385;Bangu;01/11/1947;Fluminense 5 X 0 Bangu - 
0;3;5386;Palmeiras;05/11/1947;Fluminense 0 X 3 Palmeiras - 
4;3;5387;Bonsucesso;09/11/1947;Fluminense 4 X 3 Bonsucesso - 
3;2;5388;Olaria;15/11/1947;Fluminense 3 X 2 Olaria - 
1;1;5389;São Cristovão;22/11/1947;Fluminense 1 X 1 São Cristovão - 
9;3;5390;Canto do Rio;29/11/1947;Fluminense 9 X 3 Canto do Rio - 
2;2;5393;Botafogo;14/12/1947;Fluminense 2 X 2 Botafogo - 
1;1;5395;Dublin;20/01/1918;Fluminense 1 X 1 Dublin - 
2;3;5396;Paulistano;07/04/1918;Fluminense 2 X 3 Paulistano - 
6;1;5397;Santos;09/06/1918;Fluminense 6 X 1 Santos - 
3;1;5398;Paulistano;11/06/1918;Fluminense 3 X 1 Paulistano - 
0;4;5399;Percy Acott;06/12/1908;Fluminense 0 X 4 Percy Acott - 
6;1;5401;Nacional MG;22/02/1948;Fluminense 6 X 1 Nacional MG - 
3;1;5403;São Cristovão;17/03/1948;Fluminense 3 X 1 São Cristovão - 
4;4;5404;Olaria;21/03/1948;Fluminense 4 X 4 Olaria - 
4;1;5405;América MG;24/03/1948;Fluminense 4 X 1 América MG - 
5;0;5406;Santos;27/03/1948;Fluminense 5 X 0 Santos - 
3;2;5407;Madureira;03/04/1948;Fluminense 3 X 2 Madureira - 
0;3;5408;São Paulo;07/04/1948;Fluminense 0 X 3 São Paulo - 
3;0;5409;Botafogo SP;11/04/1948;Fluminense 3 X 0 Botafogo SP - 
2;2;5410;Santos;14/04/1948;Fluminense 2 X 2 Santos - 
3;2;5411;Bangu;17/04/1948;Fluminense 3 X 2 Bangu - 
3;2;5412;Bangu;21/04/1948;Fluminense 3 X 2 Bangu - 
4;2;5413;São Cristovão;24/04/1948;Fluminense 4 X 2 São Cristovão - 
4;2;5414;Canto do Rio;27/04/1948;Fluminense 4 X 2 Canto do Rio - 
2;1;5415;Cruzeiro;01/05/1948;Fluminense 2 X 1 Cruzeiro - 
2;2;5416;Olaria;05/05/1948;Fluminense 2 X 2 Olaria - 
4;0;5417;Southampton;16/05/1948;Fluminense 4 X 0 Southampton - 
4;0;5418;Madureira;29/05/1948;Fluminense 4 X 0 Madureira - 
5;3;5419;América;03/06/1948;Fluminense 5 X 3 América - 
2;1;5420;Bangu;11/06/1948;Fluminense 2 X 1 Bangu - 
1;0;5421;Bonsucesso;15/06/1948;Fluminense 1 X 0 Bonsucesso - 
6;3;5422;Canto do Rio;11/07/1948;Fluminense 6 X 3 Canto do Rio - 
1;1;5423;Madureira;18/07/1948;Fluminense 1 X 1 Madureira - 
5;1;5424;Bonsucesso;07/08/1948;Fluminense 5 X 1 Bonsucesso - 
5;2;5425;Bangu;15/08/1948;Fluminense 5 X 2 Bangu - 
8;2;5426;Olaria;22/08/1948;Fluminense 8 X 2 Olaria - 
4;0;5427;América;05/09/1948;Fluminense 4 X 0 América - 
5;2;5428;São Cristovão;25/09/1948;Fluminense 5 X 2 São Cristovão - 
0;0;5429;Canto do Rio;03/10/1948;Fluminense 0 X 0 Canto do Rio - 
2;1;5431;São Paulo;07/10/1948;Fluminense 2 X 1 São Paulo - 
1;0;5432;Madureira;10/10/1948;Fluminense 1 X 0 Madureira - 
3;2;5433;Racing;27/10/1948;Fluminense 3 X 2 Racing - 
2;1;5434;Bangu;07/11/1948;Fluminense 2 X 1 Bangu - 
3;2;5435;Bonsucesso;01/11/1948;Fluminense 3 X 2 Bonsucesso - 
7;2;5436;Olaria;15/11/1948;Fluminense 7 X 2 Olaria - 
2;3;5437;América;27/11/1948;Fluminense 2 X 3 América - 
5;1;5438;São Cristovão;12/12/1948;Fluminense 5 X 1 São Cristovão - 
5;1;5439;Ceará;15/12/1948;Fluminense 5 X 1 Ceará - 
5;0;5440;Fortaleza;19/12/1948;Fluminense 5 X 0 Fortaleza - 
4;1;5441;Sampaio Corrêa;23/12/1948;Fluminense 4 X 1 Sampaio Corrêa - 
2;0;5442;Moto Club;26/12/1948;Fluminense 2 X 0 Moto Club - 
1;1;5443;São Paulo;13/10/2007;Fluminense 1 X 1 São Paulo - 
0;2;5444;Ferroviário;02/01/1949;Fluminense 0 X 2 Ferroviário - 
2;3;5445;São Paulo;23/01/1949;Fluminense 2 X 3 São Paulo - 
2;1;5446;Corinthians;25/01/1949;Fluminense 2 X 1 Corinthians - 
