Cidade;Data;Usuarios;Novos usuarios;Total;DT
Camaqua;20231103;1;1;0;03/11/2023
Camaragibe;20231104;1;1;0;04/11/2023
Campinas;20231030;1;1;1;30/10/2023
Campinas;20231031;1;1;0;31/10/2023
Campinas;20231104;1;1;1;04/11/2023
Campos dos Goytacazes;20231030;1;0;1;30/10/2023
Caratinga;20231031;1;1;1;31/10/2023
Carpina;20231104;1;1;1;04/11/2023
Catalao;20231104;1;1;1;04/11/2023
Caucaia;20231104;1;1;1;04/11/2023
Caxias do Sul;20231031;1;1;0;31/10/2023
Clevelandia;20231105;1;1;1;05/11/2023
Codo;20231101;1;1;1;01/11/2023
Colatina;20231103;1;1;1;03/11/2023
Colatina;20231105;1;1;1;05/11/2023
Conselheiro Lafaiete;20231105;1;1;0;05/11/2023
Corumba;20231104;1;1;1;04/11/2023
Criciuma;20231104;1;1;1;04/11/2023
Cruz Alta;20231030;1;1;1;30/10/2023
Curitiba;20231030;1;0;1;30/10/2023
Duque de Caxias;20231030;1;1;0;30/10/2023
Extrema;20231101;1;1;1;01/11/2023
Ezeiza;20231104;1;1;1;04/11/2023
Fiesch;20231101;1;1;1;01/11/2023
Florianopolis;20231031;1;0;1;31/10/2023
Florianopolis;20231105;1;1;0;05/11/2023
Fortaleza;20231031;1;1;0;31/10/2023
Fortaleza;20231101;1;0;0;01/11/2023
Fortaleza;20231104;1;1;1;04/11/2023
Foz do Iguacu;20231102;1;1;0;02/11/2023
Franca;20231105;1;1;0;05/11/2023
Frankfurt;20231104;1;1;1;04/11/2023
Goiania;20231031;1;0;1;31/10/2023
Goiania;20231103;1;0;1;03/11/2023
Gravatai;20231104;1;1;0;04/11/2023
Gravatai;20231105;1;0;1;05/11/2023
Guarapari;20231031;1;0;1;31/10/2023
Guarapari;20231101;1;0;1;01/11/2023
Guarapari;20231102;1;0;1;02/11/2023
Guarulhos;20231101;1;1;0;01/11/2023
Hazleton;20231104;1;0;0;04/11/2023
Hohenwald;20231104;1;0;1;04/11/2023
Hornell;20231103;1;1;1;03/11/2023
Hortolandia;20231104;1;1;1;04/11/2023
Ilheus;20231102;1;1;1;02/11/2023
Ipatinga;20231102;1;1;1;02/11/2023
Ipira;20231030;1;1;1;30/10/2023
Iracemapolis;20231104;1;1;1;04/11/2023
Itaberaba;20231101;1;1;1;01/11/2023
Itabira;20231105;1;1;0;05/11/2023
Itaborai;20231104;1;1;0;04/11/2023
Itajai;20231102;1;1;0;02/11/2023
Itajai;20231105;1;0;1;05/11/2023
Itapetininga;20231101;1;1;0;01/11/2023
Itapetininga;20231104;1;0;0;04/11/2023
Jacarei;20231104;1;1;1;04/11/2023
Joao Pessoa;20231030;1;1;1;30/10/2023
Joao Pessoa;20231101;1;0;1;01/11/2023
Joao Pessoa;20231105;1;1;1;05/11/2023
Joinville;20231104;1;1;0;04/11/2023
Juiz de Fora;20231031;1;1;0;31/10/2023
Juiz de Fora;20231105;1;0;1;05/11/2023
Jundiai;20231104;1;1;1;04/11/2023
Kelsterbach;20231101;1;1;1;01/11/2023
Lagoa da Prata;20231103;1;1;1;03/11/2023
