# ----------------------------------------;;;;;;;
# Exportacao do CSV de relatorio;;;;;;;
# Conta: Rodrigo_fluzao;;;;;;;
# Propriedade: RodrigoFlu;;;;;;;
# ----------------------------------------;;;;;;;
# ;;;;;;;
# Todos os usuarios;;;;;;;
# Data de inicio: 20240429;;;;;;;
# Data de termino: 20240505;;;;;;;
Titulo da pagina e nome da tela;Data;Sessoes;Usuarios;Novos usuarios;Tempo de engajamento medio por sessao;Eventos principais;Receita total
(not set);20240504;3;3;0;12.666.666.666.666.600;0;0
20 Maiores Artilheiros Anuais;20240504;3;2;0;4.666.666.666.666.660;0;0
Adversario x Tecnico;20240504;3;3;0;7.333.333.333.333.330;0;0
Anapolina 3 X 2 Fluminense;20240502;3;1;0;3;0;0
Artilheiros Estrangeiros;20240501;3;3;0;20;0;0
Artilheiros no(a) Copa do Brasil;20240429;3;3;0;16;0;0
Artilheiros no(a) Copa do Brasil;20240501;3;2;0;28.333.333.333.333.300;0;0
Artilheiros no(a) Maracana em Brasileiro;20240503;3;1;0;0;0;0
Brasileiro;20240504;3;2;0;6.666.666.666.666.660;0;0
Camisa;20240429;3;3;0;10;0;0
Camisa;20240501;3;3;0;4;0;0
Campeonatos;20240502;3;3;0;6.333.333.333.333.330;0;0
Carioca 1994;20240501;3;3;3;21.333.333.333.333.300;0;0
Copa do Brasil;20240430;3;3;0;22;0;0
Copa do Brasil;20240501;3;3;0;34.333.333.333.333.300;0;0
Corinthians 2 X 3 Fluminense;20240502;3;1;0;0.6666666666666666;0;0
Curiosidades e Titulos;20240429;3;2;0;29;0;0
Curiosidades e Titulos;20240502;3;3;0;24.666.666.666.666.600;0;0
Curiosidades e Titulos;20240505;3;1;0;0;0;0
Disputa de penalti;20240505;3;1;0;25.333.333.333.333.300;0;0
Engenheiro Araripe;20240502;3;2;0;36.666.666.666.666.600;0;0
Especiais Adversarios;20240501;3;2;0;7.333.333.333.333.330;0;0
Especiais Adversarios;20240503;3;3;0;8;0;0
Especiais Gols e Penalties;20240430;3;3;0;15.666.666.666.666.600;0;0
Especiais Gols e Penalties;20240504;3;3;0;9.666.666.666.666.660;0;0
Especiais Jogos;20240501;3;3;0;5.333.333.333.333.330;0;0
Especiais Jogos;20240503;3;3;0;33.333.333.333.333.300;0;0
Especiais Tecnicos Adversarios;20240504;3;2;0;41.333.333.333.333.300;0;0
