# ----------------------------------------;;;;;;;;
# Exportacao do CSV de relatorio;;;;;;;;
# Conta: Rodrigo_fluzao;;;;;;;;
# Propriedade: RodrigoFlu;;;;;;;;
# ----------------------------------------;;;;;;;;
# ;;;;;;;;
# Todos os usuarios;;;;;;;;
# Data de inicio: 20240708;;;;;;;;
# Data de termino: 20240714;;;;;;;;
Titulo da pagina e nome da tela;Data e hora (AAAAMMDDHH);Sessoes;Usuarios;Novos usuarios;Tempo de engajamento medio por sessao;Eventos principais;Receita total;Taxa de eventos principais da sessao
1952 x 2008;2024071123;1;1;0;45;0;0;0
2 ª passagem de Fernando Diniz;2024071205;1;1;0;14;0;0;0
2013 x 2008;2024071123;1;1;0;14;0;0;0
30 Adversarios que mais jogamos;2024070812;1;1;0;89;0;0;0
30 Adversarios que mais jogamos;2024071420;1;1;0;71;0;0;0
30 Arbitros que mais apitaram;2024071023;1;1;0;39;0;0;0
40 Maiores idolos;2024071021;1;1;0;0;0;0;0
40 Maiores idolos;2024071116;1;1;0;0;0;0;0
40 Maiores idolos;2024071300;1;1;0;105;0;0;0
4º lugar;2024071320;1;0;0;0;0;0;0
ABC 1 X 2 Fluminense;2024071320;1;1;0;33;0;0;0
ABC 1 X 2 Fluminense;2024071413;1;1;0;4;0;0;0
ADN 1 X 3 Fluminense;2024071204;1;1;0;355;0;0;0
ADN 1 X 3 Fluminense;2024071206;1;1;0;22;0;0;0
ADN 1 X 4 Fluminense;2024071204;1;1;0;32;0;0;0
ADN 1 X 4 Fluminense;2024071206;1;1;0;89;0;0;0
Aarne Erikson;2024070910;1;1;0;2;0;0;0
Ademilton 1980;2024071223;1;1;1;21;0;0;0
Adidas;2024070909;1;1;0;3;0;0;0
Adilson Jose 1998;2024070913;1;1;0;2;0;0;0
Adversario por ano;2024070817;1;1;0;15;0;0;0
Adversario por ano;2024070818;1;1;0;15;0;0;0
Adversario por ano;2024070819;1;1;0;0;0;0;0
Adversario x Campeonato;2024071016;1;1;0;8;0;0;0
Adversario x Campeonato;2024071017;1;1;0;9;0;0;0
Adversario x Campeonato;2024071115;1;1;0;15;0;0;0
Adversario x Campeonato;2024071211;1;1;0;99;0;0;0
Adversario x Estadio;2024070809;1;1;0;21;0;0;0
Adversario x Estadio;2024071102;1;1;0;18;0;0;0
Adversario x Jogador;2024071122;1;1;0;72;0;0;0
Adversario x Arbitro;2024070910;1;1;0;50;0;0;0
Adversarios;2024070814;1;1;0;6;0;0;0
Adversarios;2024070815;1;1;0;5;0;0;0
Adversarios;2024070816;1;1;0;8;0;0;0
Adversarios;2024070817;1;1;0;21;0;0;0
Adversarios;2024070818;1;1;0;11;0;0;0
Adversarios;2024070910;1;1;0;52;0;0;0
Adversarios;2024070917;1;1;0;26;0;0;0
Adversarios;2024070922;1;1;0;43;0;0;0
Adversarios;2024071009;1;1;0;7;0;0;0
Adversarios;2024071013;1;1;0;5;0;0;0
