# ----------------------------------------
# Exportacao do CSV de relatorio
# Conta: Rodrigo_fluzao
# Propriedade: RodrigoFlu
# ----------------------------------------
# 
# Todos os usuarios
# Data de inicio: 20240513
# Data de termino: 20240519
Caminho da pagina e classe da tela;Data;Sessoes;Usuarios;Novos usuarios;Tempo de engajamento medio por sessao;Eventos principais;Receita total
/link_estadio/55;20240513;2;2;0;20.5;0;0
/link_estadio/55;20240517;2;2;0;3;0;0
/link_estadio/55;20240519;2;2;0;41;0;0
/link_estadio/78;20240513;2;2;0;0.5;0;0
/link_gol/1136;20240513;2;1;0;15;0;0
/link_gol/2127;20240515;2;1;0;2;0;0
/link_gol/633;20240515;2;1;0;0;0;0
/link_jogador/1044;20240516;2;2;0;14.5;0;0
/link_jogador/1136;20240513;2;1;0;16.5;0;0
/link_jogador/1150;20240514;2;2;2;152.5;0;0
/link_jogador/1167;20240518;2;1;0;6;0;0
/link_jogador/1298;20240516;2;2;2;82.5;0;0
/link_jogador/2204;20240516;2;2;0;11;0;0
/link_jogador/2363;20240516;2;1;0;40;0;0
/link_jogador/2367;20240516;2;2;0;12;0;0
/link_jogador/2415;20240516;2;2;0;4;0;0
/link_jogador/2421;20240519;2;2;2;29;0;0
/link_jogador/2422;20240516;2;2;0;16.5;0;0
/link_jogador/307;20240518;2;1;0;9;0;0
/link_jogador/487;20240517;2;1;1;39.5;0;0
/link_jogador/649;20240518;2;1;0;18.5;0;0
/link_jogador/664;20240515;2;1;0;12;0;0
/link_jogador/667;20240514;2;2;2;43.5;0;0
/link_jogador/702;20240513;2;1;0;1;0;0
/link_jogador/771;20240513;2;1;0;38;0;0
/link_jogador/820;20240519;2;2;1;31.5;0;0
/link_jogador/950;20240518;2;2;0;72;0;0
/link_jogo/2651;20240518;2;2;2;9.5;0;0
/link_jogo/2656;20240516;2;2;0;23.5;0;0
/link_jogo/2934;20240518;2;2;2;19.5;0;0
/link_jogo/3378;20240515;2;2;0;10;0;0
/link_jogo/3386;20240515;2;2;0;2.5;0;0
/link_jogo/3459;20240515;2;2;2;24.5;0;0
/link_jogo/3735;20240518;2;2;2;54.5;0;0
/link_jogo/4039;20240515;2;1;0;8;0;0
/link_jogo/4364;20240514;2;2;2;54;0;0
/link_jogo/4364;20240515;2;2;2;25.5;0;0
/link_jogo/4653;20240518;2;2;2;8;0;0
/link_jogo/4895;20240516;2;2;0;9.5;0;0
/link_jogo/4990;20240513;2;2;2;60;0;0
/link_jogo/4990;20240517;2;2;2;46;0;0
/link_jogo/4997;20240519;2;1;1;0.5;0;0
/link_jogo/5000;20240519;2;1;0;4.5;0;0
/link_jogo/6906;20240517;2;2;0;13;0;0
/link_jogo/7137;20240518;2;1;1;5.5;0;0
/link_jogo/7328;20240518;2;2;2;29.5;0;0
/link_jogo/7395;20240513;2;0;0;0;0;0
/link_jogo/7395;20240514;2;1;0;1.5;0;0
/link_jogo/7902;20240519;2;2;0;40;0;0
/link_jogo/7920;20240519;2;2;0;6;0;0
/link_jogo/7921;20240519;2;2;0;4.5;0;0
/link_jogo/7922;20240519;2;2;0;9.5;0;0
/link_jogo/7923;20240519;2;2;0;11.5;0;0
/link_jogo/7924;20240519;2;2;0;2.5;0;0
/link_jogo/7925;20240519;2;2;0;4.5;0;0
/link_jogo/7926;20240519;2;2;0;18;0;0
/link_jogo/8213;20240513;2;2;0;9.5;0;0
/link_jogo/848;20240519;2;1;0;1.5;0;0
/link_jogo/866;20240519;2;1;0;0;0;0
