# ----------------------------------------
# Exportacao do CSV de relatorio
# Conta: Rodrigo_fluzao
# Propriedade: RodrigoFlu
# ----------------------------------------
# 
# Todos os usuarios
# Data de inicio: 20240701
# Data de termino: 20240707
Caminho da pagina e classe da tela;Data;Sessoes;Usuarios;Novos usuarios;Tempo de engajamento medio por sessao;Eventos principais;Receita total;Taxa de eventos principais da sessao
/defesa_penalti/888000000;20240704;1;1;0;39;0;0;0
/detalhamento_gols/653000000;20240701;1;1;0;5;0;0;0
/duelo_eliminatorio_adv/348000000;20240705;1;1;0;9;0;0;0
/duelo_eliminatorio_adv/349000000;20240704;1;1;0;9;0;0;0
/especial;20240705;1;1;0;2;0;0;0
/estadio;20240701;1;1;0;7;0;0;0
/estadio;20240702;1;1;0;5;0;0;0
/estadio;20240706;1;1;0;2;0;0;0
/estadio;20240707;1;1;0;3;0;0;0
/estadio_todos;20240705;1;1;0;430;0;0;0
/estadio_todos;20240707;1;1;0;27;0;0;0
/estat_posicao/675000000000;20240702;1;1;0;178;0;0;0
/estatistica_data/692000000;20240704;1;1;0;2;0;0;0
/generico_adversario/610100000;20240703;1;1;0;0;0;0;0
/generico_adversario/610100000;20240704;1;1;0;7;0;0;0
/generico_adversario/680100000;20240705;1;1;0;25;0;0;0
/generico_ano/10610600;20240702;1;1;0;6;0;0;0
/generico_ano/610106000;20240703;1;1;0;12;0;0;0
/generico_ano/610106000;20240706;1;1;0;13;0;0;0
/generico_ano/69410600;20240702;1;1;0;7;0;0;0
/generico_ano/706106000;20240703;1;1;0;1;0;0;0
/generico_ano/706106000;20240705;1;1;0;6;0;0;0
/generico_ano/843106000;20240702;1;1;0;5;0;0;0
/generico_campeonato/500103000;20240701;1;1;0;4;0;0;0
/generico_campeonato/500103000;20240704;1;1;0;3;0;0;0
/generico_campeonato/500103000;20240706;1;1;0;6;0;0;0
/generico_campeonato/500103400;20240701;1;1;0;4;0;0;0
/generico_campeonato/500303000;20240701;1;1;0;2;0;0;0
/generico_campeonato/500303000;20240706;1;1;0;14;0;0;0
/generico_campeonato/500303863;20240704;1;1;0;6;0;0;0
/generico_campeonato/500303863;20240707;1;1;0;35;0;0;0
/geolocalizacao;20240706;1;1;0;13;0;0;0
/gols_ano;20240702;1;1;0;1;0;0;0
/grafico;20240702;1;1;0;11;0;0;0
/grafico;20240704;1;1;0;7;0;0;0
/grafico;20240706;1;1;0;8;0;0;0
/grafico_adversario/200;20240702;1;1;0;810;0;0;0
/grafico_adversario/200;20240704;1;1;0;0;0;0;0
/grafico_adversario/605;20240707;1;1;0;63;0;0;0
/grafico_artilheiro/500;20240702;1;1;0;131;0;0;0
/grafico_artilheiro/500;20240705;1;1;0;4;0;0;0
/grafico_artilheiro/501;20240706;1;1;0;12;0;0;0
/grafico_artilheiro/510;20240702;1;1;0;0;0;0;0
/historico_jogonum;20240704;1;1;0;16;0;0;0
/idades/651000000000;20240704;1;1;0;7;0;0;0
/idades/661000000000;20240704;1;0;0;0;0;0;0
/link_adversario/107;20240703;1;1;1;33;0;0;0
/link_adversario/115;20240702;1;1;0;34;0;0;0
/link_adversario/117;20240703;1;1;0;5;0;0;0
/link_adversario/125;20240702;1;1;0;5;0;0;0
/link_adversario/125;20240704;1;1;1;32;0;0;0
