# ----------------------------------------
# Exportacao do CSV de relatorio
# Conta: Rodrigo_fluzao
# Propriedade: RodrigoFlu
# ----------------------------------------
# 
# Todos os usuarios
# Data de inicio: 20240610
# Data de termino: 20240616
Titulo da pagina e nome da tela;Data e hora (AAAAMMDDHH);Sessoes;Usuarios;Novos usuarios;Tempo de engajamento medio por sessao;Eventos principais;Receita total;Taxa de eventos principais da sessao
Fluminense x Botafogo-RJ;2024061211;2;2;0;27;0;0;0
Fluminense x Botafogo-RJ;2024061216;2;1;0;142.5;0;0;0
Fluminense x Botafogo-RJ;2024061308;2;1;0;33;0;0;0
Fluminense x Gremio-RS;2024061002;2;2;0;5.5;0;0;0
Fluminense x Gremio-RS;2024061011;2;2;0;27;0;0;0
Fluminense x Gremio-RS;2024061014;2;2;0;2.5;0;0;0
Fluminense x Gremio-RS;2024061017;2;1;0;0;0;0;0
Fluminense x Gremio-RS;2024061019;2;2;0;32;0;0;0
Fluminense x Moto Club-MA;2024061616;2;1;2;0.5;0;0;0
Fluminense x Moto Club-MA;2024061619;2;1;1;12.5;0;0;0
Fluminense x Paris Saint Germain-Franca;2024061009;2;2;2;0;0;0;0
Fluminense x Vasco-RJ;2024061114;2;2;1;45.5;0;0;0
Fluminense x Vasco-RJ;2024061213;2;2;0;0;0;0;0
German Cano 2024;2024061122;2;2;2;31.5;0;0;0
German Cano 2024;2024061417;2;1;0;0;0;0;0
Gols do Alex Dias;2024061113;2;1;0;0.5;0;0;0
Gols em Campeonato;2024061416;2;2;0;2.5;0;0;0
Heraclito Vasconcellos 1904;2024061118;2;1;0;0;0;0;0
Informacoes Gerais;2024061106;2;2;0;16;0;0;0
Informacoes Gerais;2024061211;2;2;0;17.5;0;0;0
Informacoes Gerais;2024061320;2;2;0;10.5;0;0;0
Informacoes Gerais;2024061513;2;2;0;25.5;0;0;0
Jair Francisco 1962;2024061321;2;2;2;264.5;0;0;0
Joaquim Cardoso 1916;2024061114;2;1;0;0;0;0;0
Jogador;2024061013;2;2;0;29.5;0;0;0
Jogador;2024061016;2;2;0;92.5;0;0;0
Jogador;2024061019;2;2;1;27;0;0;0
Jogador;2024061020;2;2;0;4.5;0;0;0
Jogador;2024061113;2;2;0;11.5;0;0;0
Jogador;2024061123;2;1;0;1.5;0;0;0
Jogador;2024061200;2;2;0;0;0;0;0
Jogador;2024061202;2;2;0;39.5;0;0;0
Jogador;2024061209;2;2;1;6.5;0;0;0
Jogador;2024061211;2;2;0;10.5;0;0;0
Jogador;2024061306;2;2;0;21;0;0;0
Jogador;2024061309;2;2;0;7;0;0;0
Jogador;2024061313;2;2;0;17.5;0;0;0
Jogador;2024061317;2;2;0;29.5;0;0;0
Jogador;2024061320;2;2;0;38.5;0;0;0
Jogador;2024061321;2;2;0;9.5;0;0;0
