# ----------------------------------------
# Exportacao do CSV de relatorio
# Conta: Rodrigo_fluzao
# Propriedade: RodrigoFlu
# ----------------------------------------
# 
# Todos os usuarios
# Data de inicio: 20240506
# Data de termino: 20240512
Titulo da pagina e nome da tela;Data;Sessoes;Usuarios;Novos usuarios;Tempo de engajamento medio por sessao;Eventos principais;Receita total
Boca Juniors 1 X 2 Fluminense;20240506;2;2;0;24.5;0;0
Boca Juniors 1 X 2 Fluminense;20240509;2;2;0;20.5;0;0
Botafogo 0 X 0 Fluminense;20240508;2;1;0;0;0;0
Botafogo 0 X 1 Fluminense;20240511;2;2;0;86;0;0
Brasileiro;20240511;2;2;0;23.5;0;0
Brasileiro 1977;20240512;2;1;1;12;0;0
Brasileiro 2023;20240508;2;1;0;1426.5;0;0
Brasileiro 2023;20240509;2;1;0;29.5;0;0
Brasileiro 2023;20240510;2;1;0;272.5;0;0
Brasileiro 2023;20240511;2;2;0;26;0;0
Brasileiro Serie B 1998;20240508;2;2;1;37.5;0;0
Brasileirao;20240510;2;2;0;36;0;0
Brasileirao por ano;20240512;2;2;0;9.5;0;0
CSA 3 X 3 Fluminense;20240506;2;1;0;0;0;0
Caio Martins;20240512;2;2;2;59.5;0;0
Camisa;20240507;2;2;0;7;0;0
Camisa;20240511;2;2;0;10.5;0;0
Camisa;20240512;2;2;0;1.5;0;0
Campeonato x Jogador;20240511;2;2;0;13;0;0
Canto do Rio 0 X 3 Fluminense;20240510;2;1;0;117.5;0;0
Carioca 1994;20240510;2;2;2;23.5;0;0
Carioca 1996;20240511;2;1;1;0;0;0
Clovis 1962;20240511;2;2;0;10;0;0
Copa do Brasil 2000;20240509;2;1;1;0;0;0
Copa do Brasil 2024;20240506;2;1;0;0.5;0;0
Creditos;20240511;2;2;0;23.5;0;0
Curiosidades e Titulos;20240507;2;2;0;37.5;0;0
Curiosidades e Titulos;20240509;2;2;0;23.5;0;0
Curiosidades e Titulos;20240510;2;2;0;30.5;0;0
Curiosidades e Titulos;20240511;2;2;0;18;0;0
Dario Herrera;20240511;2;2;0;10.5;0;0
Denilson 1973;20240512;2;1;0;0;0;0
Edina Alves Batista;20240506;2;2;0;10;0;0
Edinho 1989;20240511;2;1;0;1.5;0;0
Especiais Adversarios;20240506;2;2;0;35;0;0
Especiais Brasileirao;20240508;2;2;0;10;0;0
Especiais Brasileirao;20240512;2;2;0;10;0;0
Especiais Campeonatos;20240507;2;2;0;9;0;0
Especiais Historicos;20240507;2;2;0;33;0;0
Especiais Jogos;20240507;2;2;0;6.5;0;0
Especiais Placares;20240509;2;2;0;6;0;0
Especiais Placares;20240510;2;2;0;13;0;0
Especiais Sequencias;20240509;2;2;0;7;0;0
Especiais Sequencias;20240510;2;2;0;5.5;0;0
Especiais Arbitros;20240510;2;2;0;34;0;0
Estadio x Adversario;20240510;2;2;0;4.5;0;0
Estadio x Adversario;20240512;2;2;0;48.5;0;0
Estadios;20240507;2;2;0;36;0;0
Evanilson 2020;20240512;2;2;0;1.5;0;0
Fale Conosco;20240512;2;2;0;2.5;0;0
Felipe Melo 2024;20240508;2;1;0;12;0;0
Flamengo 0 X 0 Fluminense;20240509;2;2;0;75;0;0
Flamengo 1 X 0 Fluminense;20240512;2;1;0;62;0;0
Flamengo 2 X 0 Fluminense;20240511;2;2;0;108.5;0;0
Flamengo 2 X 2 Fluminense;20240512;2;1;0;290;0;0
Flamengo 3 X 0 Fluminense;20240508;2;1;0;0;0;0
Flamengo 3 X 0 Fluminense;20240510;2;1;0;120;0;0
Flamengo 3 X 1 Fluminense;20240512;2;1;0;0;0;0
Fluminense 0 X 0 Flamengo;20240506;2;2;0;18;0;0
Fluminense 0 X 0 Vasco;20240509;2;2;0;31.5;0;0
Fluminense 0 X 1 Internacional;20240511;2;1;0;16.5;0;0
Fluminense 0 X 2 Flamengo;20240511;2;2;0;18.5;0;0
Fluminense 0 X 3 Santos;20240506;2;2;0;4.5;0;0
Fluminense 1 X 0 Bangu;20240508;2;2;0;247.5;0;0
Fluminense 1 X 0 Bangu;20240509;2;2;0;161;0;0
Fluminense 1 X 0 Bayern de Munique;20240508;2;2;2;21;0;0
Fluminense 1 X 0 Botafogo;20240511;2;2;0;6;0;0
Fluminense 1 X 0 Flamengo;20240512;2;2;1;218.5;0;0
Fluminense 1 X 0 Grasshopper;20240508;2;1;0;337.5;0;0
Fluminense 1 X 0 Sao Paulo;20240509;2;2;0;1.5;0;0
Fluminense 1 X 0 Ulsan Hyundai;20240512;2;1;0;6;0;0
Fluminense 1 X 1 America;20240511;2;1;0;231.5;0;0
Fluminense 1 X 1 Botafogo;20240512;2;2;1;76.5;0;0
Fluminense 1 X 1 Flamengo;20240512;2;1;0;314.5;0;0
Fluminense 1 X 1 Palmeiras;20240506;2;2;0;4;0;0
Fluminense 1 X 1 Portuguesa SP;20240508;2;1;0;8;0;0
Fluminense 1 X 2 Botafogo;20240510;2;1;0;1.5;0;0
Fluminense 1 X 2 Flamengo;20240509;2;2;0;281;0;0
Fluminense 1 X 2 Madureira;20240508;2;1;0;423.5;0;0
Fluminense 1 X 2 Vasco;20240511;2;1;0;0;0;0
Fluminense 10 X 1 Paysandu Cricket;20240506;2;1;1;1.5;0;0
Fluminense 2 X 0 America;20240508;2;1;0;409.5;0;0
Fluminense 2 X 0 America;20240509;2;2;0;17;0;0
Fluminense 2 X 0 America;20240512;2;1;0;377.5;0;0
Fluminense 2 X 0 Botafogo;20240510;2;1;0;12;0;0
Fluminense 2 X 0 Corinthians;20240508;2;1;0;176;0;0
Fluminense 2 X 0 LDU;20240511;2;1;0;78;0;0
Fluminense 2 X 0 Milionarios;20240509;2;2;0;8;0;0
Fluminense 2 X 1 Bangu;20240512;2;1;0;1.5;0;0
Fluminense 2 X 1 Flamengo;20240511;2;1;0;208;0;0
Fluminense 2 X 1 Flamengo;20240512;2;2;0;17;0;0
Fluminense 2 X 1 Goytacas;20240511;2;1;0;30;0;0
Fluminense 2 X 1 Palmeiras;20240509;2;2;0;29;0;0
Fluminense 2 X 1 Sao Cristovao;20240508;2;1;0;79.5;0;0
Fluminense 2 X 1 Sao Paulo;20240512;2;2;0;7.5;0;0
Fluminense 2 X 1 Universidad Catolica;20240509;2;2;0;19.5;0;0
Fluminense 2 X 1 Volta Redonda;20240509;2;2;0;32.5;0;0
Fluminense 2 X 2 Atletico MG;20240509;2;2;0;8.5;0;0
Fluminense 2 X 2 Corinthians;20240510;2;2;0;7.5;0;0
Fluminense 2 X 2 Flamengo;20240509;2;2;0;225.5;0;0
Fluminense 2 X 2 Flamengo;20240511;2;2;0;622;0;0
Fluminense 2 X 2 Germania;20240507;2;2;0;3.5;0;0
Fluminense 2 X 2 Internacional;20240509;2;2;0;16.5;0;0
Fluminense 2 X 3 ABC;20240512;2;2;1;205.5;0;0
Fluminense 3 X 0 Goias;20240511;2;1;0;197;0;0
Fluminense 3 X 0 Oriente Petrolero;20240510;2;1;0;22.5;0;0
Fluminense 3 X 0 Penarol;20240509;2;1;0;58.5;0;0
Fluminense 3 X 1 Bonsucesso;20240508;2;1;0;189;0;0
Fluminense 3 X 1 Sport;20240508;2;1;0;6.5;0;0
Fluminense 3 X 2 Flamengo;20240512;2;1;0;35;0;0
Fluminense 4 X 0 Portuguesa;20240509;2;2;0;22.5;0;0
