Data;Visualizações;Usuários;Novos Usuarios;Endereço;Página;Código
04/08/2023;4;4;0;consulta_especial_estadio;consulta_especial_estadio;#N/D
07/08/2023;4;4;0;consulta_especial_gerais;consulta_especial_gerais;#N/D
12/08/2023;4;4;0;consulta_especial_gerais;consulta_especial_gerais;#N/D
03/08/2023;4;3;0;consulta_especial_jogos;consulta_especial_jogos;#N/D
10/08/2023;4;3;0;consulta_especial_jogos;consulta_especial_jogos;#N/D
15/08/2023;4;2;0;consulta_especial_jogos;consulta_especial_jogos;#N/D
14/08/2023;4;3;0;consulta_especial_resultados;consulta_especial_resultados;#N/D
06/08/2023;4;4;0;consulta_especial_tecnico;consulta_especial_tecnico;#N/D
15/08/2023;4;4;0;consulta_especial_tecnico;consulta_especial_tecnico;#N/D
11/08/2023;4;4;0;consulta_ranking/900103000000;consulta_ranking;9,00E+11
14/08/2023;4;1;0;consulta_ranking/900103000000;consulta_ranking;9,00E+11
14/08/2023;4;3;0;consulta_turno;consulta_turno;#N/D
03/08/2023;4;4;0;curiosidade;curiosidade;#N/D
14/08/2023;4;4;1;curiosidade;curiosidade;#N/D
03/08/2023;4;4;0;estadio;estadio;#N/D
04/08/2023;4;4;0;estadio;estadio;#N/D
07/08/2023;4;4;0;estadio;estadio;#N/D
06/08/2023;4;4;0;estadio_todos;estadio_todos;#N/D
14/08/2023;4;4;0;geral;geral;#N/D
15/08/2023;4;4;0;geral;geral;#N/D
05/08/2023;4;3;0;grafico;grafico;#N/D
13/08/2023;4;4;0;grafico;grafico;#N/D
18/08/2023;4;4;0;grafico;grafico;#N/D
03/08/2023;4;4;0;grafico_artilheiro/500;grafico_artilheiro;500
04/08/2023;4;2;0;link_adversario/62;link_adversario;62
13/08/2023;4;4;4;link_jogador/1006;link_jogador;1006
04/08/2023;4;1;0;link_jogador/1105;link_jogador;1105
04/08/2023;4;1;0;link_jogador/1136;link_jogador;1136
04/08/2023;4;1;0;link_jogador/1154;link_jogador;1154
04/08/2023;4;1;0;link_jogador/1165;link_jogador;1165
04/08/2023;4;1;0;link_jogador/1170;link_jogador;1170
10/08/2023;4;4;0;link_jogador/1283;link_jogador;1283
06/08/2023;4;4;0;link_jogador/2367;link_jogador;2367
09/08/2023;4;3;0;link_jogador/2367;link_jogador;2367
04/08/2023;4;4;4;link_jogador/667;link_jogador;667
07/08/2023;4;3;3;link_jogador/667;link_jogador;667
05/08/2023;4;3;3;link_jogo/2934;link_jogo;2934
06/08/2023;4;1;1;link_jogo/4326;link_jogo;4326
04/08/2023;4;1;0;link_jogo/4687;link_jogo;4687
09/08/2023;4;4;0;link_jogo/8716;link_jogo;8716
08/08/2023;4;2;0;link_jogo/8722;link_jogo;8722
14/08/2023;4;4;0;link_jogo/8727;link_jogo;8727
08/08/2023;4;4;4;link_mascote/166;link_mascote;166
06/08/2023;4;2;1;link_tecnico/118;link_tecnico;118
04/08/2023;4;3;0;mostra_arbitro;mostra_arbitro;#N/D
06/08/2023;4;3;1;mostra_arbitro;mostra_arbitro;#N/D
07/08/2023;4;4;0;mostra_arbitro;mostra_arbitro;#N/D
17/08/2023;4;3;0;mostra_arbitro;mostra_arbitro;#N/D
18/08/2023;4;4;0;mostra_arbitro;mostra_arbitro;#N/D
07/08/2023;4;4;0;mostra_espadv2;mostra_espadv2;#N/D
11/08/2023;4;4;0;mostra_especial/;mostra_especial;
13/08/2023;4;2;0;mostra_especial/;mostra_especial;
05/08/2023;4;3;0;mostra_especial_jogo;mostra_especial_jogo;#N/D
15/08/2023;4;2;0;mostra_especial_jogo;mostra_especial_jogo;#N/D
17/08/2023;4;2;0;mostra_especial_jogo;mostra_especial_jogo;#N/D
05/08/2023;4;4;0;mostra_jogo;mostra_jogo;#N/D
12/08/2023;4;3;0;mostra_jogo;mostra_jogo;#N/D
06/08/2023;4;4;0;mostra_ranking/800801000000;mostra_ranking;8,01E+11
08/08/2023;4;4;0;mostra_ranking/800805000000;mostra_ranking;8,01E+11
15/08/2023;4;3;0;mostra_ranking/800805000000;mostra_ranking;8,01E+11
12/08/2023;4;4;0;mostra_ranking/800900000000;mostra_ranking;8,01E+11
07/08/2023;4;3;0;mostra_ranking/801000000000;mostra_ranking;8,01E+11
13/08/2023;4;4;0;mostra_ranking/900000000000;mostra_ranking;9,00E+11
14/08/2023;4;4;0;mostra_ranking/900000000000;mostra_ranking;9,00E+11
18/08/2023;4;4;0;mostra_ranking/900000000000;mostra_ranking;9,00E+11
07/08/2023;4;4;0;mostra_rkg/;mostra_rkg;
07/08/2023;4;3;0;mostra_tecnico;mostra_tecnico;#N/D
09/08/2023;4;4;0;mostra_tecnico;mostra_tecnico;#N/D
17/08/2023;4;4;0;mostra_tecnico;mostra_tecnico;#N/D
09/08/2023;4;4;0;tecnico;tecnico;#N/D
10/08/2023;4;4;0;tecnico;tecnico;#N/D
11/08/2023;4;4;0;tecnico;tecnico;#N/D
12/08/2023;4;4;0;tecnico;tecnico;#N/D
17/08/2023;4;4;0;tecnico;tecnico;#N/D
13/08/2023;4;4;0;todas_camisas/400000000;todas_camisas;400000000
14/08/2023;4;2;0;trabalhos_longos/105492000;trabalhos_longos;105492000
06/08/2023;3;3;0;arbitro;arbitro;#N/D
11/08/2023;3;3;0;arbitro;arbitro;#N/D
14/08/2023;3;2;0;arbitro;arbitro;#N/D
15/08/2023;3;3;0;arbitro;arbitro;#N/D
17/08/2023;3;3;0;arbitro;arbitro;#N/D
04/08/2023;3;3;0;camisa;camisa;#N/D
10/08/2023;3;3;0;camisa;camisa;#N/D
03/08/2023;3;3;0;consulta_campeonato/103999000;consulta_campeonato;103999000
08/08/2023;3;3;0;consulta_campeonato/103999000;consulta_campeonato;103999000
11/08/2023;3;3;0;consulta_campeonato/103999000;consulta_campeonato;103999000
13/08/2023;3;2;0;consulta_especial/100103000;consulta_especial;100103000
07/08/2023;3;3;0;consulta_especial/102103000;consulta_especial;102103000
11/08/2023;3;3;0;consulta_especial_adversario;consulta_especial_adversario;#N/D
12/08/2023;3;3;0;consulta_especial_adversario;consulta_especial_adversario;#N/D
17/08/2023;3;2;0;consulta_especial_adversario;consulta_especial_adversario;#N/D
18/08/2023;3;3;0;consulta_especial_adversario;consulta_especial_adversario;#N/D
06/08/2023;3;2;0;consulta_especial_campeonato;consulta_especial_campeonato;#N/D
10/08/2023;3;3;0;consulta_especial_campeonato;consulta_especial_campeonato;#N/D
11/08/2023;3;3;0;consulta_especial_campeonato;consulta_especial_campeonato;#N/D
13/08/2023;3;2;0;consulta_especial_campeonato;consulta_especial_campeonato;#N/D
15/08/2023;3;2;0;consulta_especial_campeonato;consulta_especial_campeonato;#N/D
09/08/2023;3;3;0;consulta_especial_classico;consulta_especial_classico;#N/D
08/08/2023;3;3;0;consulta_especial_estadio;consulta_especial_estadio;#N/D
10/08/2023;3;3;0;consulta_especial_estadio;consulta_especial_estadio;#N/D
10/08/2023;3;3;0;consulta_especial_gerais;consulta_especial_gerais;#N/D
14/08/2023;3;3;0;consulta_especial_gerais;consulta_especial_gerais;#N/D
15/08/2023;3;3;0;consulta_especial_gerais;consulta_especial_gerais;#N/D
06/08/2023;3;2;0;consulta_especial_jogos;consulta_especial_jogos;#N/D
07/08/2023;3;3;0;consulta_especial_jogos;consulta_especial_jogos;#N/D
17/08/2023;3;2;0;consulta_especial_jogos;consulta_especial_jogos;#N/D
11/08/2023;3;2;0;consulta_especial_sequencia;consulta_especial_sequencia;#N/D
09/08/2023;3;3;0;consulta_especial_tecnico;consulta_especial_tecnico;#N/D
10/08/2023;3;2;0;consulta_especial_tecnico;consulta_especial_tecnico;#N/D
11/08/2023;3;3;0;consulta_especial_tecnico;consulta_especial_tecnico;#N/D
14/08/2023;3;3;0;consulta_especial_tecnico;consulta_especial_tecnico;#N/D
07/08/2023;3;2;0;consulta_estadio/102452000;consulta_estadio;102452000
06/08/2023;3;3;0;consulta_estadio/102999000;consulta_estadio;102999000
09/08/2023;3;2;1;consulta_jogador/268106000;consulta_jogador;268106000
15/08/2023;3;2;0;consulta_jogo/654000000;consulta_jogo;654000000
17/08/2023;3;2;0;consulta_jogo/654000000;consulta_jogo;654000000
11/08/2023;3;1;0;consulta_jogo/658701000;consulta_jogo;658701000
10/08/2023;3;3;0;consulta_numeracao;consulta_numeracao;#N/D
12/08/2023;3;1;0;consulta_placar/620000000;consulta_placar;620000000
16/08/2023;3;2;0;consulta_ranking/290206000000;consulta_ranking;2,90E+11
08/08/2023;3;3;0;consulta_ranking/800103000000;consulta_ranking;8,00E+11
10/08/2023;3;3;0;consulta_ranking/800103000000;consulta_ranking;8,00E+11
10/08/2023;3;3;0;consulta_tempo/102528000;consulta_tempo;102528000
06/08/2023;3;3;0;curiosidade;curiosidade;#N/D
13/08/2023;3;3;0;curiosidade;curiosidade;#N/D
17/08/2023;3;3;0;curiosidade;curiosidade;#N/D
