Regiao;Data;Usuario;Primeira Visita;Total;Usuarios;DT
Goias;20230815;1;0;2;1;2023-08-15
Goias;20230817;1;1;2;2;2023-08-17
Goias;20230819;1;3;3;3;2023-08-19
Goias;20230820;1;0;1;1;2023-08-20
Goias;20230823;1;0;1;1;2023-08-23
Goias;20230826;1;0;1;1;2023-08-26
Goias;20230901;1;1;2;2;2023-09-01
Goias;20230902;1;1;2;2;2023-09-02
Goias;20230903;1;1;3;3;2023-09-03
Goias;20230904;1;1;2;2;2023-09-04
Goias;20230907;1;0;1;1;2023-09-07
Goias;20230911;1;0;1;1;2023-09-11
Goias;20230915;1;0;2;1;2023-09-15
Mato Grosso;20230907;1;1;1;1;2023-09-07
Mato Grosso;20230912;1;2;2;2;2023-09-12
Mato Grosso;20230913;1;1;2;2;2023-09-13
Mato Grosso do Sul;20230808;1;0;1;1;2023-08-08
Mato Grosso do Sul;20230811;1;0;1;1;2023-08-11
Mato Grosso do Sul;20230824;1;0;1;1;2023-08-24
Mato Grosso do Sul;20230826;1;0;1;1;2023-08-26
Mato Grosso do Sul;20230827;1;0;1;1;2023-08-27
Mato Grosso do Sul;20230830;1;0;1;1;2023-08-30
Mato Grosso do Sul;20230831;1;0;1;1;2023-08-31
Mato Grosso do Sul;20230902;1;0;1;1;2023-09-02
Mato Grosso do Sul;20230906;1;0;1;1;2023-09-06
Mato Grosso do Sul;20230911;1;0;1;1;2023-09-11
Mato Grosso do Sul;20230914;1;0;1;1;2023-09-14
Mato Grosso do Sul;20230915;1;0;1;1;2023-09-15
Mato Grosso do Sul;20230916;1;1;2;2;2023-09-16
Mato Grosso do Sul;20230917;1;0;1;1;2023-09-17
Minas Gerais;20230804;1;6;6;6;2023-08-04
Minas Gerais;20230815;1;3;4;4;2023-08-15
Minas Gerais;20230816;1;2;3;3;2023-08-16
Minas Gerais;20230818;1;3;4;4;2023-08-18
Minas Gerais;20230902;1;1;2;2;2023-09-02
Minas Gerais;20230913;1;0;2;2;2023-09-13
Minas Gerais;20230917;1;2;3;3;2023-09-17
Para;20230804;1;1;2;2;2023-08-04
Para;20230805;1;2;2;2;2023-08-05
Para;20230807;1;1;2;2;2023-08-07
Para;20230810;1;0;1;1;2023-08-10
Para;20230811;1;0;1;1;2023-08-11
Para;20230822;1;0;1;1;2023-08-22
Para;20230823;1;1;2;2;2023-08-23
Para;20230824;1;1;2;2;2023-08-24
Para;20230826;1;0;1;1;2023-08-26
Para;20230828;1;0;1;1;2023-08-28
Para;20230901;1;2;3;3;2023-09-01
Para;20230902;1;0;1;1;2023-09-02
Para;20230904;1;1;2;2;2023-09-04
Para;20230905;1;0;1;1;2023-09-05
Para;20230906;1;0;1;1;2023-09-06
Para;20230908;1;3;4;4;2023-09-08
Para;20230913;1;0;1;1;2023-09-13
Para;20230915;1;1;2;2;2023-09-15
Para;20230916;1;2;3;3;2023-09-16
Para;20230918;1;2;3;3;2023-09-18
Paraiba;20230817;1;0;1;1;2023-08-17
Paraiba;20230824;1;0;1;1;2023-08-24
Paraiba;20230828;1;0;1;1;2023-08-28
Paraiba;20230830;1;1;2;2;2023-08-30
Paraiba;20230903;1;0;1;1;2023-09-03
Paraiba;20230916;1;0;1;1;2023-09-16
Paraiba;20230918;1;1;1;1;2023-09-18
Parana;20230806;1;2;3;3;2023-08-06
Parana;20230807;1;2;4;4;2023-08-07
Parana;20230810;1;2;2;2;2023-08-10
Parana;20230814;1;0;1;1;2023-08-14
Parana;20230821;1;5;6;6;2023-08-21
Parana;20230825;1;1;2;2;2023-08-25
Parana;20230826;1;1;2;2;2023-08-26
Parana;20230827;1;3;4;4;2023-08-27
Parana;20230828;1;2;3;3;2023-08-28
Parana;20230907;1;0;1;1;2023-09-07
Parana;20230909;1;0;2;2;2023-09-09
Parana;20230910;1;2;3;3;2023-09-10
Parana;20230915;1;2;3;3;2023-09-15
Pernambuco;20230824;1;1;2;2;2023-08-24
Pernambuco;20230828;1;0;1;1;2023-08-28
Pernambuco;20230829;1;1;1;1;2023-08-29
Pernambuco;20230912;1;0;1;1;2023-09-12
Piaui;20230807;1;1;1;1;2023-08-07
Piaui;20230809;1;0;1;1;2023-08-09
Piaui;20230815;1;0;1;1;2023-08-15
Piaui;20230826;1;1;1;1;2023-08-26
Rio Grande do Norte;20230804;1;2;3;3;2023-08-04
Rio Grande do Norte;20230809;1;0;1;1;2023-08-09
Rio Grande do Norte;20230813;1;0;1;1;2023-08-13
Rio Grande do Norte;20230815;1;2;2;2;2023-08-15
Rio Grande do Norte;20230820;1;0;1;1;2023-08-20
Rio Grande do Norte;20230825;1;1;2;2;2023-08-25
Rio Grande do Norte;20230828;1;1;1;1;2023-08-28
Rio Grande do Norte;20230902;1;0;1;1;2023-09-02
Rio Grande do Norte;20230903;1;2;3;3;2023-09-03
Rio Grande do Norte;20230906;1;1;2;2;2023-09-06
Rio Grande do Norte;20230908;1;1;2;2;2023-09-08
Rio Grande do Sul;20230808;1;2;4;3;2023-08-08
Rio Grande do Sul;20230809;1;3;5;5;2023-08-09
Rio Grande do Sul;20230812;1;2;3;3;2023-08-12
Rio Grande do Sul;20230813;1;3;5;4;2023-08-13
Rio Grande do Sul;20230816;1;3;3;3;2023-08-16
Rio Grande do Sul;20230819;1;2;3;3;2023-08-19
Rio Grande do Sul;20230823;1;1;2;2;2023-08-23
Rio Grande do Sul;20230829;1;3;4;4;2023-08-29
Rio Grande do Sul;20230831;1;4;5;5;2023-08-31
Rio Grande do Sul;20230902;1;2;4;4;2023-09-02
Rio Grande do Sul;20230903;1;1;2;2;2023-09-03
Rio Grande do Sul;20230913;1;1;2;2;2023-09-13
Santa Catarina;20230816;1;2;3;3;2023-08-16
Santa Catarina;20230819;1;1;2;2;2023-08-19
Santa Catarina;20230820;1;0;1;1;2023-08-20
Santa Catarina;20230822;1;4;4;4;2023-08-22
Santa Catarina;20230823;1;1;1;1;2023-08-23
Santa Catarina;20230824;1;1;2;2;2023-08-24
Santa Catarina;20230829;1;2;3;3;2023-08-29
Santa Catarina;20230901;1;0;1;1;2023-09-01
Santa Catarina;20230904;1;1;1;1;2023-09-04
Santa Catarina;20230906;1;0;1;1;2023-09-06
Santa Catarina;20230907;1;1;3;3;2023-09-07
Santa Catarina;20230909;1;1;1;1;2023-09-09
Santa Catarina;20230916;1;0;1;1;2023-09-16
Sao Paulo;20230813;1;5;6;6;2023-08-13
Sao Paulo;20230830;1;9;11;11;2023-08-30
Sao Paulo;20230912;1;6;7;7;2023-09-12
Tocantins;20230810;1;0;2;1;2023-08-10
Tocantins;20230826;1;0;1;1;2023-08-26
Ulyanovsk Oblast;20230803;1;1;2;2;2023-08-03
Ulyanovsk Oblast;20230805;1;0;1;1;2023-08-05
Ulyanovsk Oblast;20230806;1;0;1;1;2023-08-06
Ulyanovsk Oblast;20230810;1;0;1;1;2023-08-10
Ulyanovsk Oblast;20230811;1;0;1;1;2023-08-11
Ulyanovsk Oblast;20230812;1;0;1;1;2023-08-12
Ulyanovsk Oblast;20230813;1;0;1;1;2023-08-13
Ulyanovsk Oblast;20230814;1;0;1;1;2023-08-14
Ulyanovsk Oblast;20230821;1;0;1;1;2023-08-21
Ulyanovsk Oblast;20230825;1;0;1;1;2023-08-25
Ulyanovsk Oblast;20230830;1;0;1;1;2023-08-30
Ulyanovsk Oblast;20230901;1;0;1;1;2023-09-01
Ulyanovsk Oblast;20230907;1;0;1;1;2023-09-07
Ulyanovsk Oblast;20230908;1;0;1;1;2023-09-08
Ulyanovsk Oblast;20230909;1;0;1;1;2023-09-09
Ulyanovsk Oblast;20230910;1;0;1;1;2023-09-10
