Cidade;Data;Usuarios;Novos usuarios;Total;DT
Niteroi;20230910;2;0;2;2023-09-10
Nova Friburgo;20230820;2;2;4;2023-08-20
Nova Friburgo;20230829;2;2;4;2023-08-29
Nova Friburgo;20230905;2;2;4;2023-09-05
Nova Iguacu;20230804;2;2;4;2023-08-04
Nova Iguacu;20230810;2;2;4;2023-08-10
Nova Iguacu;20230818;2;2;4;2023-08-18
Nova Iguacu;20230819;2;1;3;2023-08-19
Nova Iguacu;20230820;2;1;3;2023-08-20
Nova Iguacu;20230822;2;2;4;2023-08-22
Nova Iguacu;20230829;2;2;4;2023-08-29
Olinda;20230914;2;2;4;2023-09-14
Paranavai;20230809;2;1;3;2023-08-09
Parnamirim;20230815;2;2;4;2023-08-15
Peruibe;20230810;2;1;3;2023-08-10
Petropolis;20230803;2;1;3;2023-08-03
Petropolis;20230804;2;1;3;2023-08-04
Petropolis;20230809;2;1;3;2023-08-09
Petropolis;20230825;2;0;2;2023-08-25
Petropolis;20230903;2;1;3;2023-09-03
Petropolis;20230905;2;0;2;2023-09-05
Petropolis;20230915;2;1;3;2023-09-15
Petropolis;20230916;2;1;3;2023-09-16
Porto Alegre;20230808;2;2;4;2023-08-08
Porto Alegre;20230831;2;2;4;2023-08-31
Porto Alegre;20230901;2;2;4;2023-09-01
Porto Alegre;20230904;2;1;3;2023-09-04
Porto Alegre;20230905;2;1;3;2023-09-05
Porto Alegre;20230914;2;2;4;2023-09-14
Recife;20230902;2;2;4;2023-09-02
Ribeirao Preto;20230805;2;2;4;2023-08-05
Ribeirao Preto;20230809;2;2;4;2023-08-09
Ribeirao Preto;20230811;2;2;4;2023-08-11
Ribeirao Preto;20230917;2;2;4;2023-09-17
Rio das Ostras;20230825;2;1;3;2023-08-25
Rio das Ostras;20230908;2;2;4;2023-09-08
Salvador;20230806;2;1;3;2023-08-06
Salvador;20230807;2;1;3;2023-08-07
Salvador;20230809;2;2;4;2023-08-09
Salvador;20230814;2;1;3;2023-08-14
Salvador;20230819;2;1;3;2023-08-19
Salvador;20230822;2;1;3;2023-08-22
Salvador;20230828;2;1;3;2023-08-28
Salvador;20230909;2;1;3;2023-09-09
Salvador;20230913;2;1;3;2023-09-13
Salvador;20230918;2;2;4;2023-09-18
Santa Rita;20230815;2;2;4;2023-08-15
Santos;20230907;2;1;3;2023-09-07
Santos;20230909;2;1;3;2023-09-09
Sao Goncalo;20230810;2;1;3;2023-08-10
Sao Goncalo;20230822;2;1;3;2023-08-22
Sao Goncalo;20230827;2;1;3;2023-08-27
Sao Goncalo;20230828;2;1;3;2023-08-28
Sao Goncalo;20230902;2;0;2;2023-09-02
Sao Goncalo;20230903;2;2;4;2023-09-03
