Título;Extenso;Sessões;Usuários;Novos usuários;Data
Flamengo 1 X 1 Fluminense;20230807;3;2;0;07/08/2023
Fluminense 0 X 1 America;20230807;3;2;0;07/08/2023
Fluminense 0 X 2 Flamengo;20230807;3;2;0;07/08/2023
Fluminense 0 X 2 Paulistano;20230803;3;2;0;03/08/2023
Fluminense 0 X 2 Vasco;20230804;3;1;0;04/08/2023
Fluminense 1 X 0 Sao Cristovao;20230804;3;2;0;04/08/2023
Fluminense 1 X 0 Vasco;20230812;3;3;0;12/08/2023
Fluminense 1 X 2 America;20230807;3;3;0;07/08/2023
Fluminense 1 X 3 Botafogo;20230812;3;2;0;12/08/2023
Fluminense 1 X 3 Palmeiras;20230803;3;3;0;03/08/2023
Fluminense 2 X 0 Argentinos Juniors;20230811;3;3;0;11/08/2023
Fluminense 2 X 0 Botafogo;20230812;3;2;0;12/08/2023
Fluminense 2 X 0 Campo Grande;20230807;3;2;0;07/08/2023
Fluminense 2 X 0 Libertad;20230811;3;3;0;11/08/2023
Fluminense 2 X 0 Vasco;20230811;3;3;0;11/08/2023
Fluminense 2 X 1 Palmeiras;20230804;3;3;0;04/08/2023
Fluminense 2 X 1 Palmeiras;20230805;3;3;0;05/08/2023
Fluminense 2 X 1 Palmeiras;20230811;3;3;0;11/08/2023
Fluminense 2 X 1 Rio Cricket;20230804;3;2;0;04/08/2023
Fluminense 2 X 3 ABC;20230809;3;3;3;09/08/2023
Fluminense 3 X 0 LDU;20230809;3;2;0;09/08/2023
Fluminense 3 X 1 Libertad;20230811;3;2;0;11/08/2023
Fluminense 3 X 2 Vasco;20230812;3;2;0;12/08/2023
Fluminense 4 X 2 Palmeiras;20230806;3;3;2;06/08/2023
Fluminense x Barcelona-Espanha;20230808;3;2;0;08/08/2023
Fluminense x Boca Juniors-Argentina;20230804;3;3;0;04/08/2023
Fluminense x Bolivar-Bolivia;20230811;3;3;0;11/08/2023
Fluminense x Cerro Portenho-Paraguai;20230811;3;1;0;11/08/2023
Fluminense x Cerro Portenho-Paraguai;20230812;3;3;0;12/08/2023
Fluminense x Flamengo-RJ;20230808;3;2;0;08/08/2023
Fluminense x Flamengo-RJ;20230810;3;1;0;10/08/2023
Fluminense x Gremio-RS;20230804;3;3;0;04/08/2023
Fluminense x Internacional-RS;20230806;3;3;0;06/08/2023
Fluminense x Internacional-RS;20230811;3;3;0;11/08/2023
Fluminense x Internacional-RS;20230812;3;3;0;12/08/2023
Fluminense x Olimpia-Paraguai;20230808;3;3;0;08/08/2023
Fluminense x Palmeiras-SP;20230808;3;3;0;08/08/2023
Fluminense x Paris Saint Germain-Franca;20230809;3;3;3;09/08/2023
Fluminense x Real Madrid-Espanha;20230808;3;2;0;08/08/2023
Fluminense x River Plate-Argentina;20230807;3;3;0;07/08/2023
Fluminense x San Lorenzo-Argentina;20230805;3;2;2;05/08/2023
Fluminense x Sao Paulo-SP;20230810;3;1;0;10/08/2023
Fluminense x Sao Paulo-SP;20230811;3;1;0;11/08/2023
Fluminense x Sao Raimundo-AM;20230811;3;3;3;11/08/2023
Fluminense x Vasco-RJ;20230805;3;3;0;05/08/2023
Fabio 2023;20230807;3;3;0;07/08/2023
Fabio 2023;20230810;3;2;0;10/08/2023
German Cano 2023;20230810;3;3;0;10/08/2023
Goleiros com mais jogos;20230809;3;3;0;09/08/2023
Graficos;20230808;3;2;0;08/08/2023
Graficos;20230810;3;3;0;10/08/2023
Gremio 1 X 0 Fluminense;20230811;3;3;0;11/08/2023
Gremio 4 X 5 Fluminense;20230811;3;3;0;11/08/2023
Informacoes Gerais;20230804;3;3;0;04/08/2023
Jandir 1994;20230807;3;2;0;07/08/2023
Jhon Arias 2023;20230809;3;3;0;09/08/2023
Jogadores mais velhos;20230807;3;3;0;07/08/2023
Jogos em Estadio por ano;20230807;3;2;0;07/08/2023
Jogos no(a) Maracana em 2023;20230804;3;2;0;04/08/2023
Jogos no(a) Maracana em 2023;20230807;3;1;0;07/08/2023
Joao Pedro 2019;20230806;3;1;0;06/08/2023
Keno 2023;20230808;3;3;0;08/08/2023
Libertadores da America 2023;20230804;3;3;0;04/08/2023
Libertadores da America 2023;20230809;3;3;0;09/08/2023
Lira 1995;20230804;3;1;0;04/08/2023
Luis Eduardo 1994;20230804;3;1;0;04/08/2023
Madureira 1 X 3 Fluminense;20230812;3;3;0;12/08/2023
Mais jogos em Campeonato;20230808;3;3;0;08/08/2023
Mais jogos em Campeonato;20230810;3;3;0;10/08/2023
Mais jogos no elenco atual;20230805;3;2;0;05/08/2023
Mais jogos nos Seculos;20230811;3;2;0;11/08/2023
Maracana;20230809;3;3;0;09/08/2023
Maracana;20230810;3;3;0;10/08/2023
Marcelo Gomes 1992;20230805;3;3;3;05/08/2023
Neinha 1981;20230810;3;3;0;10/08/2023
Nino 2023;20230809;3;3;0;09/08/2023
Numeracao Fixa;20230808;3;1;0;08/08/2023
Numeracao Fixa;20230810;3;3;0;10/08/2023
Olaria 1 X 3 Fluminense;20230812;3;2;0;12/08/2023
Palmeiras 0 X 2 Fluminense;20230803;3;3;0;03/08/2023
Paulistano 2 X 0 Fluminense;20230807;3;3;0;07/08/2023
Paulo Henrique Ganso 2023;20230804;3;1;0;04/08/2023
Paulo Henrique Ganso 2023;20230806;3;3;0;06/08/2023
Pires 1993;20230804;3;1;0;04/08/2023
Placar de 5 x 0;20230812;3;1;0;12/08/2023
Presenca Estrangeiros;20230808;3;3;0;08/08/2023
Rafael Moura 2012;20230808;3;2;0;08/08/2023
Ranking de Assistencias;20230805;3;2;0;05/08/2023
Rodrigo Jose Pereira de Lima;20230811;3;3;0;11/08/2023
Samuel Xavier 2023;20230806;3;3;0;06/08/2023
Samuel Xavier 2023;20230812;3;3;1;12/08/2023
Sequencias;20230810;3;1;0;10/08/2023
Sequencias - Maracana;20230810;3;2;0;10/08/2023
Serrano 0 X 2 Fluminense;20230807;3;2;0;07/08/2023
Sao Paulo Athletic 3 X 0 Fluminense;20230809;3;2;0;09/08/2023
Tec - Edinho;20230804;3;1;0;04/08/2023
Tec - Fernando Diniz;20230805;3;1;0;05/08/2023
Tec - Fernando Diniz;20230812;3;3;0;12/08/2023
Todas as camisas;20230804;3;3;0;04/08/2023
Todas as camisas;20230810;3;3;0;10/08/2023
Todos os Jogos contra Palmeiras-SP;20230805;3;2;0;05/08/2023
Todos os Jogos no(a) Maracana;20230806;3;3;0;06/08/2023
Todos os jogos em campeonato;20230803;3;3;0;03/08/2023
Todos os jogos em campeonato;20230808;3;3;0;08/08/2023
Todos os jogos em campeonato;20230811;3;3;0;11/08/2023
Todos os jogos em estadio;20230806;3;3;0;06/08/2023
Todos os jogos no(a) Libertadores da America;20230807;3;3;0;07/08/2023
Todos os jogos no(a) Libertadores da America;20230808;3;2;0;08/08/2023
Todos os jogos no(a) Libertadores da America;20230809;3;2;0;09/08/2023
Treinador com mais jogos;20230809;3;3;0;09/08/2023
Tecnico;20230807;3;3;0;07/08/2023
Tecnico;20230808;3;2;0;08/08/2023
Vasco 1 X 1 Fluminense;20230807;3;3;0;07/08/2023
Vasco 2 X 0 Fluminense;20230812;3;3;0;12/08/2023
Vasco 3 X 3 Fluminense;20230807;3;3;0;07/08/2023
Wallace 1995;20230804;3;1;0;04/08/2023
Wilmar Roldan;20230808;3;1;0;08/08/2023
Arbitros;20230806;3;3;0;06/08/2023
Arbitros;20230811;3;3;0;11/08/2023
Ezio 1995;20230804;3;1;0;04/08/2023
(not set);20230804;2;2;0;04/08/2023
(not set);20230807;2;2;0;07/08/2023
1 Âª passagem de Fernando Diniz;20230811;2;1;0;11/08/2023
2 Âª passagem de Renato Gaucho;20230811;2;1;0;11/08/2023
ADN 1 X 3 Fluminense;20230807;2;2;0;07/08/2023
ASA 0 X 3 Fluminense;20230807;2;2;0;07/08/2023
Adversario do mesmo pais;20230807;2;2;0;07/08/2023
Adversario por ano;20230807;2;2;0;07/08/2023
Adversario x Campeonato;20230803;2;1;0;03/08/2023
Adversario x Campeonato;20230807;2;2;0;07/08/2023
Adversario x Campeonato;20230810;2;2;0;10/08/2023
Adversario x Campeonato x Estadio;20230807;2;2;0;07/08/2023
Adversario x Estadio;20230803;2;1;0;03/08/2023
Adversario x Estadio;20230806;2;2;0;06/08/2023
Adversarios Argentina;20230807;2;2;0;07/08/2023
Adversarios Internacionais;20230807;2;2;0;07/08/2023
Adversarios Internacionais;20230809;2;2;0;09/08/2023
Adversarios da Argentina;20230807;2;2;0;07/08/2023
Alan 2023;20230806;2;1;0;06/08/2023
Alan 2023;20230810;2;2;0;10/08/2023
Alexandre 1993;20230804;2;1;0;04/08/2023
Alexandre Torres 1991;20230805;2;2;1;05/08/2023
Alexis Herrera;20230807;2;2;0;07/08/2023
Alexsander 2023;20230805;2;2;0;05/08/2023
Alfredinho 1937;20230803;2;1;0;03/08/2023
Americano 1 X 0 Fluminense;20230807;2;2;0;07/08/2023
Americano 2 X 2 Fluminense;20230807;2;1;0;07/08/2023
America 0 X 0 Fluminense;20230807;2;2;0;07/08/2023
America 0 X 1 Fluminense;20230803;2;2;0;03/08/2023
America 1 X 1 Fluminense;20230812;2;2;0;12/08/2023
America 3 X 0 Fluminense;20230812;2;1;0;12/08/2023
Anapolina 3 X 1 Fluminense;20230806;2;2;2;06/08/2023
Anapolina 3 X 2 Fluminense;20230807;2;2;0;07/08/2023
Anderson Daronco;20230806;2;2;1;06/08/2023
Andre 2023;20230809;2;2;0;09/08/2023
Aproveitamento Tecnicos no;20230810;2;2;0;10/08/2023
Argentino Juniors 1 X 1 Fluminense;20230804;2;2;0;04/08/2023
Arsenal de Sarandi 1 X 2 Fluminense;20230809;2;2;0;09/08/2023
Arthur 2023;20230808;2;2;0;08/08/2023
Artilheiro contra adversario em campeonato;20230808;2;1;0;08/08/2023
Artilheiros em 2023;20230806;2;2;0;06/08/2023
Artilheiros em 2023;20230808;2;2;0;08/08/2023
Artilheiros em 2023;20230811;2;2;0;11/08/2023
Artilheiros no(a) Libertadores da America;20230809;2;2;0;09/08/2023
Artilheiros no(a) Libertadores da America;20230812;2;1;0;12/08/2023
Artilheiros por Adversario;20230812;2;1;0;12/08/2023
Atletico MG 1 X 1 Fluminense;20230807;2;2;0;07/08/2023
Atletico MG 2 X 0 Fluminense;20230805;2;1;0;05/08/2023
Atletico MG 3 X 1 Fluminense;20230807;2;2;0;07/08/2023
