Caminho da pagina e classe da tela;Data;Sessoes;Usuarios;Novos usuarios
/mostra_especial/;20230819;5;4;0
/mostra_especial_jogo;20230814;5;3;0
/mostra_especial_jogo;20230820;5;4;0
/mostra_especial_jogo;20230826;5;5;0
/mostra_estadio;20230816;5;5;0
/mostra_estadio;20230829;5;4;0
/mostra_estadio;20230902;5;5;0
/mostra_estadio;20230904;5;4;0
/mostra_estadiomais;20230904;5;3;0
/mostra_jogo;20230902;5;5;0
/mostra_ranking/290000000;20230820;5;5;0
/mostra_ranking/800000000000;20230823;5;2;0
/mostra_ranking/801000000000;20230819;5;4;0
/mostra_ranking/900000000000;20230831;5;6;0
/mostra_rkg/;20230814;5;3;0
/mostra_rkg/;20230816;5;4;0
/mostra_tecnico;20230814;5;5;0
/mostra_tecnico;20230825;5;5;0
/mostra_tecnico;20230828;5;5;0
/ranking_turno;20230814;5;3;0
/tecnico;20230825;5;5;0
/tecnico;20230828;5;5;0
/arbitro;20230819;4;4;0
/arbitro;20230821;4;4;0
/arbitro;20230830;4;4;0
/arbitro;20230902;4;3;0
/camisa;20230830;4;4;0
/camisa;20230901;4;4;0
/camisa;20230903;4;4;0
/campeonato;20230816;4;3;0
/campeonato;20230822;4;4;0
/consulta_camisa/400104000;20230826;4;4;0
/consulta_especial_adversario;20230819;4;4;0
/consulta_especial_adversario;20230820;4;4;0
/consulta_especial_adversario;20230823;4;4;0
/consulta_especial_adversario;20230830;4;3;0
/consulta_especial_adversario;20230908;4;3;0
/consulta_especial_campeonato;20230821;4;3;0
/consulta_especial_campeonato;20230827;4;4;0
/consulta_especial_campeonato;20230902;4;2;0
/consulta_especial_estadio;20230821;4;3;0
/consulta_especial_estadio;20230824;4;4;0
/consulta_especial_gerais;20230902;4;4;0
/consulta_especial_gerais;20230905;4;4;0
/consulta_especial_jogador;20230908;4;4;0
/consulta_especial_jogos;20230815;4;2;0
/consulta_especial_jogos;20230820;4;4;0
/consulta_especial_jogos;20230821;4;2;0
/consulta_especial_jogos;20230903;4;4;0
/consulta_especial_jogos;20230904;4;2;0
/consulta_especial_jogos;20230908;4;3;0
/consulta_especial_resultados;20230814;4;3;0
/consulta_especial_resultados;20230904;4;4;0
/consulta_especial_tecnico;20230815;4;4;0
/consulta_especial_tecnico;20230903;4;4;0
/consulta_estadio/102999000;20230905;4;3;0
/consulta_hattrick/750000000000;20230901;4;3;0
/consulta_jogo/658700000;20230825;4;2;0
/consulta_ranking/290206000000;20230902;4;3;0
/consulta_ranking/800103000000;20230825;4;4;0
/consulta_ranking/900103000000;20230814;4;1;0
/consulta_ranking/900103000000;20230821;4;3;0
/consulta_ranking/900103000000;20230831;4;3;0
/consulta_turno;20230814;4;3;0
/curiosidade;20230814;4;4;1
/curiosidade;20230824;4;4;0
/curiosidade;20230826;4;4;0
/curiosidade;20230827;4;4;2
/curiosidade;20230901;4;4;0
/curiosidade;20230902;4;3;0
/estadio;20230829;4;4;0
/estadio;20230830;4;4;0
/estadio;20230903;4;4;0
/estadio;20230904;4;4;0
/estadio;20230909;4;4;0
/estadio_todos;20230828;4;3;0
/estadio_todos;20230901;4;2;0
/generico_ano/643106000;20230825;4;3;0
/geral;20230814;4;4;0
/geral;20230815;4;4;0
/geral;20230902;4;4;0
/grafico;20230818;4;4;0
/grafico;20230819;4;4;0
/grafico;20230826;4;3;0
/grafico;20230902;4;4;0
/grafico;20230905;4;4;1
/grafico_campeonato/403;20230824;4;1;0
/link_adversario/115;20230831;4;2;0
/link_adversario/418;20230827;4;4;0
/link_adversario/656;20230824;4;4;4
/link_estadio/316;20230901;4;3;0
/link_jogador/1036;20230901;4;2;2
/link_jogador/2367;20230831;4;4;0
/link_jogador/2367;20230903;4;3;0
/link_jogador/2415;20230820;4;4;0
/link_jogador/2421;20230826;4;4;0
/link_jogador/2475;20230904;4;3;0
/link_jogador/2476;20230826;4;4;0
/link_jogo/7618;20230908;4;3;0
/link_jogo/8488;20230825;4;4;0
/link_jogo/8490;20230825;4;4;0
/link_jogo/8699;20230828;4;4;0
/link_jogo/8718;20230828;4;3;0
/link_jogo/8727;20230814;4;4;0
/link_jogo/8729;20230826;4;4;0
/link_jogo/8729;20230901;4;4;0
/link_jogo/8730;20230827;4;4;0
/link_jogo/8731;20230831;4;4;0
/link_jogo/8732;20230904;4;4;0
/link_todos/168/100;20230904;4;3;0
/link_todos/418/100;20230826;4;3;0
/link_todos/418/100;20230828;4;4;0
/link_todos/49/200;20230907;4;3;2
/maiores_publicos;20230825;4;4;0
/mostra_arbitro;20230817;4;3;0
/mostra_arbitro;20230818;4;4;0
/mostra_campeonato;20230822;4;4;0
/mostra_campeonato;20230903;4;4;0
/mostra_especial/;20230821;4;3;0
/mostra_especial_jogo;20230815;4;2;0
/mostra_especial_jogo;20230817;4;2;0
/mostra_especial_jogo;20230824;4;4;0
/mostra_especial_jogo;20230902;4;4;0
/mostra_especial_jogo;20230903;4;4;0
/mostra_especial_jogo;20230904;4;2;0
/mostra_especial_jogo;20230908;4;2;0
/mostra_estadio;20230822;4;3;0
/mostra_estadio;20230824;4;4;0
/mostra_estadio;20230826;4;3;0
/mostra_estadio;20230903;4;4;0
/mostra_jogador_gols;20230903;4;4;0
/mostra_ranking/290000000;20230901;4;3;0
/mostra_ranking/290000000;20230902;4;3;0
/mostra_ranking/800801000000;20230819;4;4;0
/mostra_ranking/800801000000;20230825;4;4;0
/mostra_ranking/800805000000;20230815;4;3;0
/mostra_ranking/800805000000;20230825;4;4;0
/mostra_ranking/801000000000;20230820;4;3;0
/mostra_ranking/801000000000;20230824;4;4;0
/mostra_ranking/801000000000;20230831;4;3;0
/mostra_ranking/867000000000;20230819;4;4;0
/mostra_ranking/867000000000;20230825;4;3;0
/mostra_ranking/867000000000;20230903;4;4;0
/mostra_ranking/900000000000;20230814;4;4;0
/mostra_ranking/900000000000;20230818;4;4;0
/mostra_ranking/900000000000;20230822;4;4;1
/mostra_ranking/900000000000;20230824;4;3;0
/mostra_ranking/900900000000;20230901;4;4;0
/mostra_ranking/902000000000;20230901;4;4;0
/mostra_ranking/903000000000;20230820;4;4;0
/mostra_rkg/;20230824;4;4;0
/mostra_rkg/;20230828;4;4;0
/mostra_sequencia2;20230825;4;4;0
/mostra_tecnico;20230817;4;4;0
/mostra_tecnico;20230902;4;3;0
/mostra_todos;20230903;4;3;0
/mostra_todos_jogador;20230901;4;3;0
/mostra_todos_jogador;20230902;4;2;0
/publico_ano2;20230825;4;2;0
/tecnico;20230817;4;4;0
/tecnico;20230821;4;4;0
/tecnico;20230823;4;4;0
/tecnico;20230824;4;4;0
/tecnico;20230830;4;4;0
/tecnico;20230902;4;3;0
/tecnico;20230906;4;4;0
/todas_camisas/400000000;20230903;4;4;1
/trabalhos_longos/105492000;20230814;4;2;0
/arbitro;20230814;3;2;0
/arbitro;20230815;3;3;0
/arbitro;20230817;3;3;0
/arbitro;20230820;3;3;0
/arbitro;20230823;3;3;0
/arbitro;20230901;3;3;0
/camisa;20230825;3;3;0
/camisa;20230828;3;3;0
/camisa;20230905;3;3;0
/campeonato;20230909;3;2;0
/consulta_campeonato/103999000;20230824;3;3;0
/consulta_campeonato/103999000;20230828;3;3;0
/consulta_campeonato/103999000;20230901;3;2;0
/consulta_espadv/200000000;20230831;3;3;0
/consulta_especial/100102000;20230903;3;2;0
/consulta_especial/100102000;20230904;3;2;0
/consulta_especial/100103000;20230905;3;3;0
/consulta_especial/100999000;20230903;3;3;0
/consulta_especial/102103000;20230825;3;3;0
/consulta_especial/104103000;20230901;3;2;0
/consulta_especial_adversario;20230817;3;2;0
/consulta_especial_adversario;20230818;3;3;0
/consulta_especial_adversario;20230821;3;2;0
/consulta_especial_adversario;20230824;3;3;0
/consulta_especial_adversario;20230906;3;3;0
/consulta_especial_campeonato;20230815;3;2;0
/consulta_especial_campeonato;20230819;3;3;0
/consulta_especial_campeonato;20230820;3;3;0
/consulta_especial_campeonato;20230823;3;3;0
/consulta_especial_campeonato;20230826;3;3;0
/consulta_especial_campeonato;20230828;3;3;0
/consulta_especial_campeonato;20230829;3;3;0
/consulta_especial_campeonato;20230831;3;3;0
/consulta_especial_estadio;20230819;3;3;0
/consulta_especial_gerais;20230814;3;3;0
