# ----------------------------------------
# Exportação do CSV de relatório
# Conta: Rodrigo_fluzao
# Propriedade: RodrigoFlu
# ----------------------------------------
# 
# Todos os usuários
# Data de início: 20230724
# Data de término: 20230820
Título da página e nome da tela;Data;Sessões;Usuários;Novos usuários;Tempo de engajamento médio por sessão;Conversões;Receita total
Brasileiro 1988;20230817;3;1;0;9.666666666666666;0;0
Brasileiro 2023;20230807;3;2;0;12.333333333333334;0;0
Brasileiro 2023;20230809;3;3;0;362.3333333333333;0;0
Brasileiro 2023;20230813;3;2;0;66.66666666666667;0;0
Brasileiro 2023;20230814;3;2;0;15;0;0
Camisa;20230804;3;3;0;16.333333333333332;0;0
Camisa;20230810;3;3;0;2.3333333333333335;0;0
Campeonatos;20230802;3;3;0;16.333333333333332;0;0
Carioca 1951;20230812;3;2;0;25;0;0
Carioca 1995;20230808;3;2;2;4.333333333333333;0;0
Cerro Portenho 0 X 2 Fluminense;20230811;3;3;0;42.333333333333336;0;0
Chiquinho 1993;20230804;3;1;0;4;0;0
Consulta Placar;20230812;3;1;0;18.666666666666668;0;0
Corinthians 1 X 2 Fluminense;20230813;3;2;0;15;0;0
Curiosidades e Títulos;20230806;3;3;0;103.66666666666667;0;0
