# ----------------------------------------
# Exportação do CSV de relatório
# Conta: Rodrigo_fluzao
# Propriedade: RodrigoFlu
# ----------------------------------------
# 
# Todos os usuários
# Data de início: 20230724
# Data de término: 20230820
Caminho da página e classe da tela;Data;Sessões;Usuários;Novos usuários;Tempo de engajamento médio por sessão;Conversões;Receita total
/consulta_especial_gerais;20230815;3;3;0;46.333333333333336;0;0
/consulta_especial_jogador;20230802;3;3;0;26.333333333333332;0;0
/consulta_especial_jogos;20230806;3;2;0;5;0;0
/consulta_especial_jogos;20230807;3;3;0;9;0;0
/consulta_especial_jogos;20230817;3;2;0;5;0;0
/consulta_especial_jogos;20230819;3;3;0;3;0;0
/consulta_especial_sequencia;20230811;3;2;0;36;0;0
/consulta_especial_tecnico;20230809;3;3;0;3.6666666666666665;0;0
/consulta_especial_tecnico;20230810;3;2;0;22.666666666666668;0;0
/consulta_especial_tecnico;20230811;3;3;0;11.333333333333334;0;0
/consulta_especial_tecnico;20230814;3;3;0;5.333333333333333;0;0
/consulta_especial_tecnico;20230820;3;3;0;12;0;0
/consulta_estadio/102452000;20230807;3;2;0;31.666666666666668;0;0
/consulta_estadio/102999000;20230806;3;3;0;14.333333333333334;0;0
/consulta_jogador/268106000;20230809;3;2;1;29.666666666666668;0;0
